,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,-0.10831117789850886,0.21639116865102315,-0.11917697376025904,-0.05097676569182763,0.052710669286787804,0.08634839902901392,0.23881632181250723,-0.210958270720148,0.22413593804184484,0.5805109235926482,-0.035140446191191776,-0.18125072245983143,-0.4100104034215699,1.0320194197202635,-0.08449890186105646,-0.19939891342041394,0.17766732169691357,0.11975494162524547
CEc,-0.17644183773216016,-0.12903225806451601,-0.12267839687194515,-0.48240469208211145,-0.15249266862170074,-0.19794721407624616,0.08015640273704783,-0.41104594330400784,-0.037634408602150504,0.7126099706744868,0.11534701857282503,0.3216031280547407,-0.49315738025415445,0.8357771260997067,0.48142717497556187,-0.6407624633431084,-0.09335288367546468,-0.027370478983382185
CEe,0.002968159740960541,0.11656772800863457,-0.08715596330275233,-0.22099298434970316,0.0501888828926067,0.00728548300053955,0.26929303831624374,-0.10550458715596334,0.19454937938478123,0.42255801403130067,-0.010793308148947661,-0.17377226119805744,-0.2301672962763086,0.5925526173772262,-0.03534808418780355,0.059093362115488324,0.16864543982730673,0.052887209929843415
CL,-0.16789215686274495,-0.04044117647058787,-0.11887254901960798,-0.3088235294117647,-0.15073529411764697,-0.1617647058823528,0.01225490196078427,-0.3443627450980392,0.042892156862744946,0.6544117647058822,0.07475490196078431,-0.060049019607843146,-0.3443627450980391,1.0147058823529411,0.05759803921568629,-0.3970588235294119,-0.19975490196078427,0.0171568627450982
MCr,-0.12289562289562284,-0.0740740740740744,-0.11952861952861948,-0.36531986531986527,-0.1582491582491583,-0.16666666666666652,0.05387205387205363,-0.3047138047138047,0.011784511784511897,0.6565656565656566,0.09764309764309763,0.23569023569023573,-0.398989898989899,0.9629629629629628,0.5101010101010102,-0.6212121212121211,-0.008417508417508657,0.0
MCt,-0.16695804195804187,0.003933566433566238,-0.14641608391608396,-0.2753496503496504,-0.18225524475524457,-0.06687062937062915,0.15428321678321666,-0.2757867132867132,0.11319930069930084,0.7198426573426573,0.03889860139860139,0.1774475524475525,-0.4777097902097902,1.077797202797203,0.25611888111888104,-0.38024475524475543,0.06337412587412583,0.02141608391608396
MCu,-0.28787878787878807,-0.0033670033670034627,-0.14309764309764306,-0.2474747474747474,-0.1582491582491583,-0.14309764309764317,0.10101010101010122,-0.3518518518518518,0.0824915824915824,0.7037037037037036,0.0505050505050505,0.047138047138047146,-0.5168350168350169,1.033670033670034,0.36868686868686873,-0.6212121212121211,-0.008417508417508657,0.07070707070707072
MS,-0.16666666666666652,0.057142857142857384,-0.17619047619047623,-0.2142857142857144,-0.1428571428571428,-0.10000000000000009,0.10476190476190483,-0.3095238095238096,0.1952380952380952,0.7142857142857142,0.1333333333333333,-0.10476190476190483,-0.42380952380952386,1.2857142857142858,-0.033333333333333215,-0.5285714285714287,0.13809523809523805,0.06666666666666665
QLl,-0.19406207827260458,-0.05506072874493961,-0.14278002699055337,-0.1303643724696355,-0.22995951417004057,-0.010526315789473717,0.015654520917678827,-0.4240215924426451,0.22483130904183546,1.1805668016194333,0.08529014844804317,0.015114709851551833,-0.8434547908232117,1.4866396761133605,0.47260458839406194,-0.9141700404858301,-0.07152496626180804,0.1284750337381917
QLq,-0.27787720799937765,-0.1456695976966773,-0.18340985137343402,-0.43630845848572086,-0.3230876974554511,-0.175783985682048,-0.13244105517080396,-0.5682826239203175,0.11493269006303009,1.1583534355303091,0.05851684693798148,0.0479340129172825,-0.6042331336082796,1.2858143335149015,0.21811532176484327,-0.8331647342619253,-0.23290016341140785,0.05447046922418486
SNs,-0.1130434782608698,0.04637681159420293,-0.14589371980676324,-0.26376811594202887,-0.11980676328502415,0.02995169082125626,0.028985507246376496,-0.3951690821256039,0.19613526570048312,0.7632850241545894,0.11594202898550723,-0.24347826086956514,-0.5980676328502417,0.8850241545893718,0.10917874396135274,-0.6618357487922706,0.0009661835748793202,0.10821256038647342
KNa,-0.04514265077645341,0.16034669555796333,-0.14987360057782606,-0.06825568797399795,0.013001083423618498,-0.06392199349945837,0.28096785843264716,-0.33550018057060305,0.37667027807872855,0.9035752979414952,0.244131455399061,0.23257493680028896,-0.5630191404839291,1.2524377031419285,0.23149151318165395,-0.5319609967497292,0.23149151318165417,0.080895630191405
KNc,-0.21992734820965243,0.048572911261027585,-0.09268292682926838,-0.13731188375713543,-0.184327970939284,0.004670472236637302,0.10482615464452527,-0.12527244421380385,0.14457706279190452,0.7155163466528283,0.02698495070057083,-0.12786715101193558,-0.3301504929942918,1.0686040477426053,-0.11759211209133369,-0.22947586922677732,0.03933575505967868,0.011624286455630406
KNf,-0.19479166666666692,-0.14687499999999964,-0.1645833333333333,-0.34999999999999987,-0.296875,-0.171875,-0.04166666666666652,-0.46979166666666666,0.13854166666666656,1.1218750000000002,0.09583333333333334,0.13854166666666634,-0.6010416666666667,1.3843750000000001,0.4166666666666665,-0.75,-0.0864583333333333,0.1166666666666667
KNn,-0.08694532658140952,-0.06797699768260212,-0.16436357394215095,-0.21088318599261857,-0.11638485966869805,-0.07183932709638663,0.09870397390781926,-0.4556690412840099,0.20487511801562075,1.045918805252768,0.2650416273281263,0.1490000858295426,-0.7404514633937,1.251394730066089,0.8604411638485967,-0.993648613852888,0.016908419878121972,0.12016135953995377
KNs,-0.1671497584541064,0.12753623188405783,-0.11884057971014494,-0.15555555555555545,0.015458937198067568,-0.02415458937198034,0.13719806763285014,-0.20579710144927538,0.38550724637681144,0.9526570048309178,0.0888888888888889,-0.21642512077294684,-0.2734299516908212,1.101449275362319,-0.0801932367149758,-0.3371980676328503,0.0009661835748793202,0.18937198067632854
AT,-0.13875598086124397,0.12818515633693117,-0.11894959385779469,-0.06309113163458346,0.0894625570268166,0.02904194948258576,0.22810726605096265,-0.2362301101591187,0.36374763547346145,0.8432179815288751,0.0992544786914432,-0.031156114387448586,-0.409146545009458,1.1096027595415603,0.21219539334594395,-0.42494714587737836,0.10003338155112962,0.12774006898853907
VO,-0.10581437342000743,0.1300108342361863,-0.11953773925604916,-0.12892741061755153,0.0736728060671723,0.05742145178764879,0.15962441314553955,-0.12314915131816545,0.1946551101480678,0.5698808234019502,-0.028891296496930313,-0.13145539906103254,-0.25966052726616096,0.9187432286023838,0.019140483929216412,-0.0769230769230771,0.07981220657277,0.050559768869627986
