,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,0.9047663190406462,0.944293499165449,0.9999974690568457,0.8926040662802328,0.9636444219947811,0.21398508609060007,0.003413028131456525,0.999999998793015,0.40590500585184985,1.0244173532238643e-11,0.0028268576138536184,0.00784894977061155,0.9999535206871187,3.122428738896246e-05,0.1050358397779459,0.9374806655367851,0.8313534604319494,0.944997121919538
CEc,0.6062699658754563,0.9440673352691777,0.9999981249088877,0.6480901059784209,0.9365799991053378,0.5210974085869319,0.061319136912643915,0.9999999951175129,0.11656079507975964,1.2384923970272578e-14,0.008299519622733656,0.047201393769326666,0.999999016285839,6.550572915558909e-08,0.1496219566369209,0.9939869286116724,0.7811918321627476,0.7243313087707718
CEe,0.33538426844039493,0.9998496509767825,0.9999999999920988,0.9999277542859843,0.9993722412481606,0.9898262594192299,0.05235458077525411,1.0,0.9077706736786952,6.792149574622613e-12,0.006916958388379555,1.5061904247234048e-05,0.9999999999999902,1.3564980964555774e-06,0.0008373113623587784,0.9825809578430269,0.9998792431611273,0.9999880608792329
CL,0.976591896438592,0.8469940666761809,0.9999964718890141,0.3263620637314474,0.9299177061459915,0.2984062598444812,0.039160165841089854,0.9999999979760399,0.0020109923048523834,1.2764383549012326e-23,0.004694150752061923,0.05373804670296572,0.9999944038931674,7.843967827949349e-12,0.1345390161806414,0.9913113331405209,0.18721146578536613,0.32167995897525287
MCr,0.9999002297007887,0.9994180825733519,0.999996166396194,0.9973776348762827,0.9999972149706047,0.9488102324837532,0.7170818390026801,0.9999999959501269,0.9243576798291625,1.8298014655141888e-14,0.09516113475116611,0.7468873756155782,0.9999997013550082,1.7288235296563178e-07,0.38940101924439224,0.9902861306426335,0.9991706944933642,0.999885525880674
MCt,0.9952167700454788,0.9999386013782113,0.9999999650534509,0.9992300584720132,0.9997426354925608,0.987436256361059,0.6068541497360438,0.9999999999985422,0.6895740057747972,2.9267056544390045e-19,0.009316412872678868,0.624268401947804,0.9999999939085374,8.801561369119399e-11,0.17025006292278633,0.9996755157708735,0.9817368126602559,0.9978394646484419
MCu,0.9826438108426085,0.9995669971048474,0.9999774246790706,0.9904056730533679,0.9959492139691886,0.7578540869990938,0.3863726632384708,0.9999999971860992,0.5600609376524409,3.4009099466048845e-16,0.0001413963348158905,0.24356495626927932,0.9999763958174315,2.1727549441959355e-08,0.0750619542890149,0.9996530237098538,0.7473224652056176,0.9715943470313885
MS,0.9872986513524487,0.9998243023541646,0.9999980440470065,0.9866205497219498,0.9975022128078296,0.9642253039907908,0.298295421396264,0.9999999987256746,0.5545287642985511,2.3907338330386486e-17,0.01692733289500919,0.08761100848495074,0.999995876863151,1.3885686705491674e-09,0.050620113058226814,0.9998071782188102,0.7085795696777993,0.986888991119909
QLl,0.21381743871998865,0.9998747693568211,0.9999999993664883,0.9999988030227118,0.9997276822135034,0.9999062022720053,0.05574111162676063,1.0,0.9989012213616634,0.000821583714622014,0.03248298293136534,1.522504058620778e-08,0.9999999999999113,0.002251407200801294,4.857541466919128e-05,0.6836476831913616,0.9999846349178931,0.9999999943378756
QLq,0.9996362660668533,0.999770170739668,0.999999903389011,0.9995668400955671,0.9999696983440998,0.9882720041892953,0.3036079407524327,0.9999999999764804,0.7188780992046422,5.997746355546146e-21,0.005084683528079495,0.09871595132854755,0.9999999990237127,4.7929233967438684e-08,0.15712422338035797,0.993857793726427,0.9675265858168068,0.8737995115633266
SNs,0.8636218845027495,0.8551773937133873,0.9999994072420637,0.7831878280719398,0.8548133016984372,0.42564456206264556,0.005092683573310162,0.9999999873742402,0.22150751131760404,4.450627448881388e-12,0.0021411331749870994,0.0028156953332840575,0.9999808183795567,7.349299823534646e-06,0.08269020214426692,0.6537994183028888,0.615838837818488,0.7279186644858557
KNa,0.5191890331464947,0.9262000625336991,0.9999987605333214,0.5800790258573219,0.8732478813643353,0.3856543317987813,0.0004722058506070412,0.9999984042833973,0.06825612913611553,9.730677812891932e-09,0.004996255391897203,0.00012339958393953402,0.9999967582536052,4.373007888226359e-05,0.23254287862539913,0.639460523841407,0.24460987040965487,0.840252639854887
KNc,0.9445555330451257,0.998480684966701,0.9999680227076047,0.9740229886728073,0.9978774036940575,0.9250095094767826,0.3978344086603187,0.9999995304581458,0.35157016273183417,8.461538223559434e-14,0.041448778096229925,0.6588861058778186,0.9992588549630919,2.1183578811368334e-09,0.71541886138923,0.9837119828464702,0.8055021032797607,0.8710324164652434
KNf,0.921912231634592,0.9998915013191128,0.9999999931913769,0.9997033316528999,0.9994118191021434,0.9972539730396071,0.1588315165886589,0.999999999999984,0.9810244753497859,1.8078750491292844e-10,0.003138304668300118,0.0012759935043721341,0.9999999963058626,0.0009759127804726418,0.03487877268449068,0.9089269988681344,0.9881954283253811,0.9999979260324818
KNn,0.6597589939667943,0.9962822982598735,0.9999982971714675,0.9729284248260077,0.987936597553583,0.8103029894712197,0.013806228087381916,0.9999999999737844,0.5488916992512162,1.819099450338818e-13,8.374506658774079e-05,5.952986980422973e-06,0.9999999986089282,2.0633975848603946e-06,0.0009523780323646195,0.9895357683231112,0.49592261238517354,0.9414871065094268
KNs,0.9393727887753465,0.9784522737714177,0.9999979174679923,0.7195589112186647,0.9613208537821359,0.21257871862192113,0.01438669123409068,0.999999609573098,0.005341111614766917,3.5137501950565334e-17,0.0022595058682007936,0.00025923441294634813,0.9999977778343913,5.458762341407678e-09,0.39511424920049254,0.9934647605530896,0.4151662294413797,0.20208027880007134
AT,0.7642449289412467,0.5727097083471634,0.9998614851134638,0.3556777748479294,0.6267207224495296,0.3093869611909071,0.022379688133487723,0.9999999785818108,0.014405794951305253,1.2047702533478637e-13,0.0007347579300692868,0.01908302467202786,0.9996700681318711,4.7482794281980064e-08,0.19675448019089226,0.9676350067145572,0.12837979312154962,0.34274211673639243
VO,0.9619469932605809,0.9995899211091287,0.9999999797534593,0.995431023587672,0.9828758027907075,0.9457772706667735,0.03571732029414826,1.0,0.7614686422912738,8.205468811632225e-20,2.511867563953546e-06,0.00010264131932234422,0.9999999999998513,7.169109323073145e-08,0.0006383602757939802,0.9993662026268832,0.9431795066860533,0.9483363273735151
