,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,-0.11034964944839665,-0.07388003917929664,-0.06181049592741528,-0.03183640065986171,-0.12430727394576757,-0.04340492576554267,0.011061062996184923,-0.26364509227755434,0.013142463140529914,0.38509607949273117,0.009232588411176412,0.03458152902361045,-0.2693592767295596,0.31810624806681087,0.10078519692751842,-0.36372306423342615,-0.08288064491184644,-0.03368420713475606
CEc,-0.12923479854209408,-0.045654165587842854,-0.04548819268789783,-0.02446440545187789,-0.1067421511415616,-0.03977540547179448,-0.005900336593041011,-0.21133495322883677,0.04857694835587245,0.42233796065778373,0.010784919038419397,0.025154852715648435,-0.32454506828125096,0.4214334083530842,0.12819082900144085,-0.3264487774436191,-0.02936724491625009,-0.020170686530303517
CEe,-0.19662540820887786,-0.10155462597688691,-0.042629401970333713,-0.05749246696427934,-0.17084619203498996,-0.01306984137518663,-0.08374796749554436,-0.27683377610861365,0.06508178492117556,0.539737536087324,0.03716124112416121,-0.16499609277654903,-0.3395705762975658,0.4681263611029236,0.018690907718604377,-0.4277911922529616,-0.0814758568726468,0.009743008152140353
CL,-0.13061365706471717,-0.08189390391146656,-0.03886832094156989,-0.010222518254216828,-0.12702361535088036,-0.04262782266637499,-0.003966619515987535,-0.24981779126135523,0.011429136295274533,0.4150585617709198,0.028772897695579225,-0.010803075699199027,-0.2564769420627204,0.38120029467213024,0.09941340161944145,-0.4653819087316624,-0.04450835806586495,-0.029677468957828967
MCr,-0.21932351273327155,-0.13744812609547408,-0.07694575471698117,-0.13475616042891025,-0.21209177492525,-0.0978918574079799,-0.09791280028868954,-0.3090508686462522,0.0010342561088771962,0.5213134085988246,0.039503105990308277,-0.07439233426126401,-0.432820071656872,0.44826947365707803,0.1794885426332613,-0.572589635529436,-0.058664230848541,-0.04881946592432196
MCt,-0.14580594086669185,-0.087560664991567,-0.060191718583278986,-0.12846521873816807,-0.16734416411386088,-0.094549616218635,-0.043749354627749426,-0.29441882077582354,-0.02473754861804278,0.36917874229855785,0.03913193129797268,-0.032936357691116136,-0.20479124358930223,0.3514697277389598,0.10148521667297694,-0.4029773173166282,-0.04514163769662316,-0.08525625580835028
MCu,-0.09411108673394741,-0.049252230510457906,-0.055259982448442324,-0.05780495831505039,-0.07459046365364941,-0.04122239286236651,0.035967895275705875,-0.18816183998829894,0.0009635073862803711,0.29558468626590606,0.0435699137048413,-0.041253473745795244,0.0023566622787771774,0.25171859002486463,-0.08748171712739494,-0.2412827263419628,0.025672809711862143,-0.03603005704256268
MS,-0.07789148866109397,-0.08257611586383451,-0.061695849972528416,-0.07981216715779693,-0.11208497626436897,-0.08673276636471217,-0.0012219955467123178,-0.17146463162431191,-0.029210357671566767,0.2222940494413801,0.036823110081276686,0.024068648165094242,-0.16106367716183612,0.1859690657890687,0.05319318630208292,-0.3565307266582527,-0.013315087354024868,-0.07514619637561726
QLl,-0.19337996348821385,-0.11712547312743249,-0.058828410666581066,-0.12994742731103015,-0.2051445748946672,-0.08139130248569248,-0.06395986915717744,-0.3314649149575189,0.04818404724046932,0.5086126592037004,0.03510244179261092,-0.09852159388400805,-0.49348328863048674,0.5187069367039816,0.15883028443859115,-0.5635864531637302,-0.09711626487641167,-0.04071706578010481
QLq,-0.2212779836547809,-0.09773397239764048,-0.051922628902646206,-0.09876463443802819,-0.21756039375141722,-0.06874621422736071,-0.0538541106890027,-0.26910964840073437,0.013092327811411897,0.5785058196061864,0.05170518965361927,-0.053390654461076714,-0.3911228873447252,0.5156080999226538,0.04332135346613697,-0.49376912300538334,-0.07644045736792915,0.00285156043723922
SNs,3.402788017670133e-05,-0.017429080226398774,-0.051987795333643394,0.06242981749713605,-0.04319801579649818,-0.008255163730817028,0.0863385622842534,-0.1700509283939975,0.04706887621035283,0.30265530891643877,0.0252388568144611,0.10366555887012341,-0.25447031823629707,0.2592591752398019,0.13632324973817433,-0.2798762897511806,0.068066346804593,-0.013107539443984573
KNa,-0.12822111059670238,-0.04505997884649382,-0.021029294970960954,-0.009834498281748205,-0.10139455052563817,-0.02499651832864691,0.006997971220692456,-0.15624461281932578,0.05664923949005751,0.36768632587691075,0.035778031218359124,-0.0017735822069657736,-0.21887404630434704,0.273637537310343,-0.0325221980073549,-0.15861892448348947,-0.004360181724424983,-0.02279007968322433
