,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,-0.3222222222222224,-0.2999999999999998,-0.1333333333333333,-0.47777777777777786,-0.3555555555555556,-0.3666666666666667,-0.18888888888888866,-0.7666666666666666,-0.25555555555555554,0.5555555555555556,-0.011111111111111113,0.24444444444444446,-1.0333333333333334,0.8111111111111112,0.5555555555555556,-1.0999999999999999,-0.577777777777778,-0.37777777777777777
CEc,-0.3003072196620584,-0.274193548387097,-0.17741935483870974,-0.49001536098310283,-0.34408602150537626,-0.41474654377880205,-0.1321044546850998,-0.7211981566820277,-0.30261136712749614,0.3210445468509985,0.07910906298003073,0.29185867895545314,-1.0714285714285714,0.577572964669739,0.814132104454685,-1.163594470046083,-0.6213517665130568,-0.4024577572964667
CEe,-0.41455696202531644,-0.26175406871609397,-0.16817359855334535,-0.2920433996383365,-0.31351717902350806,-0.25429475587703454,-0.16568716094032565,-0.6455696202531646,-0.15280289330922248,0.5915461121157324,0.09312839059674502,-0.134493670886076,-0.7527124773960219,0.6900994575045207,0.4803345388788427,-1.2477396021699818,-0.48734177215189867,-0.2398282097649187
CL,-0.3605614358030371,-0.20225494707777258,-0.1753336401288541,-0.3856419696272435,-0.2970547630004603,-0.22779567418315683,-0.0803037275655778,-0.5908881730326737,-0.18936953520478594,0.4351127473538886,-0.010124252185918087,0.2082374597330876,-0.8904739990796136,0.5278416935112746,0.6718821905200183,-0.9180855959502991,-0.578232857800276,-0.2848596410492408
MCr,-0.30873279544375865,-0.18438538205980048,-0.12244897959183665,-0.3163265306122449,-0.2759848125296629,-0.18153773137161844,-0.03607024205030829,-0.7852396772662553,-0.09231134314190781,0.5073564309444707,0.06953013763644993,0.30493592785951584,-1.0358329378262932,0.7420503084954911,0.8376839107736118,-1.0821072615092546,-0.3355481727574747,-0.36046511627906974
MCt,-0.3211875843454792,-0.1902834008097165,-0.13562753036437236,-0.27192982456140347,-0.34952766531713886,-0.15182186234817818,-0.09244264507422395,-0.4716599190283401,-0.10053981106612686,0.6430499325236168,0.0053981106612685514,0.14844804318488514,-0.7591093117408905,0.6929824561403509,0.3981106612685561,-1.0728744939271255,-0.5087719298245612,-0.21524966261808354
MCu,-0.3271604938271606,-0.22222222222222232,-0.14197530864197527,-0.17901234567901247,-0.3333333333333335,-0.1234567901234569,-0.09876543209876543,-0.4444444444444444,-0.07407407407407396,0.45679012345679015,0.08641975308641975,0.24691358024691334,-0.5246913580246912,0.5617283950617283,0.462962962962963,-1.0185185185185184,-0.5370370370370372,-0.1358024691358024
MS,-0.3605614358030371,-0.17119190059825096,-0.1442705936493327,-0.3545789231477221,-0.2970547630004603,-0.19673262770363564,-0.018177634606534987,-0.6530142659917165,-0.15830648872526476,0.5904279797514956,0.08306488725264612,0.2703635526921304,-0.8283479061205707,0.5278416935112746,0.6408191440404971,-1.135526921306949,-0.4539806718821904,-0.3159226875287622
QLl,-0.3271604938271606,-0.12962962962962976,-0.1728395061728395,-0.2407407407407407,-0.2407407407407407,-0.1234567901234569,0.024691358024691468,-0.7222222222222223,-0.012345679012345734,0.580246913580247,-0.006172839506172839,0.09259259259259256,-0.771604938271605,0.6851851851851851,0.617283950617284,-1.0185185185185184,-0.32098765432098775,-0.2592592592592591
QLq,-0.2694624652455977,-0.2759499536607972,-0.17794253938832238,-0.37627432808155703,-0.26042632066728455,-0.2398053753475442,-0.12418906394810003,-0.7395736793327155,-0.14990732159406872,0.569740500463392,0.01714550509731233,0.23169601482854496,-0.9487951807228916,0.806533827618165,0.7588044485634847,-1.0669601482854496,-0.463855421686747,-0.31093605189990714
