discouraged_ability,alpha,test_ability,score,baseline,delta_pct
AS,-3.0,AS,294.0,429.0,-31.46853146853147
AS,-3.0,CEc,360.0,492.0,-26.82926829268293
AS,-3.0,CEe,29.0,38.0,-23.684210526315788
AS,-3.0,CL,258.0,348.0,-25.862068965517242
AS,-3.0,MCr,213.0,307.0,-30.618892508143325
AS,-3.0,MCt,359.0,498.0,-27.91164658634538
AS,-3.0,MCu,358.0,510.0,-29.80392156862745
AS,-3.0,MS,88.0,122.0,-27.86885245901639
AS,-3.0,QLl,236.0,318.0,-25.78616352201258
AS,-3.0,QLq,138.0,177.0,-22.033898305084744
AS,-3.0,SNs,10.0,8.0,25.0
AS,-3.0,KNa,374.0,533.0,-29.831144465290805
AS,-3.0,KNc,274.0,345.0,-20.579710144927535
AS,-3.0,KNf,235.0,292.0,-19.52054794520548
AS,-3.0,KNn,195.0,290.0,-32.758620689655174
AS,-3.0,KNs,236.0,350.0,-32.57142857142858
AS,-3.0,AT,312.0,440.0,-29.09090909090909
AS,-3.0,VO,237.0,316.0,-25.0
AS,-2.0,AS,347.0,429.0,-19.114219114219114
AS,-2.0,CEc,426.0,492.0,-13.414634146341465
AS,-2.0,CEe,32.0,38.0,-15.789473684210526
AS,-2.0,CL,300.0,348.0,-13.793103448275861
AS,-2.0,MCr,267.0,307.0,-13.029315960912053
AS,-2.0,MCt,425.0,498.0,-14.65863453815261
AS,-2.0,MCu,436.0,510.0,-14.50980392156863
AS,-2.0,MS,107.0,122.0,-12.295081967213115
AS,-2.0,QLl,284.0,318.0,-10.69182389937107
AS,-2.0,QLq,158.0,177.0,-10.734463276836157
AS,-2.0,SNs,8.0,8.0,0.0
AS,-2.0,KNa,443.0,533.0,-16.885553470919323
AS,-2.0,KNc,329.0,345.0,-4.63768115942029
AS,-2.0,KNf,269.0,292.0,-7.876712328767123
AS,-2.0,KNn,217.0,290.0,-25.17241379310345
AS,-2.0,KNs,306.0,350.0,-12.571428571428573
AS,-2.0,AT,382.0,440.0,-13.18181818181818
