discouraged_ability,alpha,test_ability,score,baseline,delta_pct
AS,0.5,KNf,259.0,266.0,-2.631578947368421
AS,0.5,KNn,266.0,274.0,-2.9197080291970803
AS,0.5,KNs,351.0,346.0,1.4450867052023122
AS,0.5,AT,350.0,350.0,0.0
AS,0.5,VO,81.0,84.0,-3.571428571428571
AT,-3.0,AS,174.0,229.0,-24.017467248908297
AT,-3.0,CEc,260.0,316.0,-17.72151898734177
AT,-3.0,CEe,30.0,30.0,0.0
AT,-3.0,CL,217.0,252.0,-13.88888888888889
AT,-3.0,MCr,168.0,193.0,-12.953367875647666
AT,-3.0,MCt,314.0,376.0,-16.48936170212766
AT,-3.0,MCu,346.0,426.0,-18.779342723004692
AT,-3.0,MS,80.0,86.0,-6.976744186046512
AT,-3.0,QLl,215.0,236.0,-8.898305084745763
AT,-3.0,QLq,89.0,117.0,-23.931623931623932
AT,-3.0,SNs,0.0,0.0,0.0
AT,-3.0,KNa,394.0,517.0,-23.791102514506772
AT,-3.0,KNc,276.0,317.0,-12.933753943217665
AT,-3.0,KNf,207.0,266.0,-22.18045112781955
AT,-3.0,KNn,196.0,274.0,-28.467153284671532
AT,-3.0,KNs,298.0,346.0,-13.872832369942195
AT,-3.0,AT,285.0,350.0,-18.571428571428573
AT,-3.0,VO,66.0,84.0,-21.428571428571427
AT,-2.0,AS,199.0,229.0,-13.100436681222707
AT,-2.0,CEc,290.0,316.0,-8.227848101265822
AT,-2.0,CEe,30.0,30.0,0.0
AT,-2.0,CL,229.0,252.0,-9.126984126984127
AT,-2.0,MCr,181.0,193.0,-6.217616580310881
AT,-2.0,MCt,343.0,376.0,-8.77659574468085
AT,-2.0,MCu,381.0,426.0,-10.56338028169014
AT,-2.0,MS,89.0,86.0,3.488372093023256
AT,-2.0,QLl,227.0,236.0,-3.8135593220338984
AT,-2.0,QLq,100.0,117.0,-14.529914529914532
AT,-2.0,SNs,0.0,0.0,0.0
AT,-2.0,KNa,448.0,517.0,-13.346228239845262
AT,-2.0,KNc,294.0,317.0,-7.255520504731862
AT,-2.0,KNf,228.0,266.0,-14.285714285714285
AT,-2.0,KNn,235.0,274.0,-14.233576642335766
AT,-2.0,KNs,330.0,346.0,-4.624277456647398
AT,-2.0,AT,321.0,350.0,-8.285714285714285
AT,-2.0,VO,72.0,84.0,-14.285714285714285
AT,-1.5,AS,217.0,229.0,-5.240174672489083
AT,-1.5,CEc,310.0,316.0,-1.89873417721519
AT,-1.5,CEe,30.0,30.0,0.0
AT,-1.5,CL,247.0,252.0,-1.984126984126984
AT,-1.5,MCr,199.0,193.0,3.1088082901554404
AT,-1.5,MCt,367.0,376.0,-2.393617021276596
AT,-1.5,MCu,409.0,426.0,-3.9906103286384975
AT,-1.5,MS,92.0,86.0,6.976744186046512
AT,-1.5,QLl,246.0,236.0,4.23728813559322
AT,-1.5,QLq,106.0,117.0,-9.401709401709402
AT,-1.5,SNs,0.0,0.0,0.0
AT,-1.5,KNa,479.0,517.0,-7.35009671179884
AT,-1.5,KNc,307.0,317.0,-3.1545741324921135
AT,-1.5,KNf,243.0,266.0,-8.646616541353383
AT,-1.5,KNn,246.0,274.0,-10.218978102189782
AT,-1.5,KNs,352.0,346.0,1.7341040462427744
AT,-1.5,AT,343.0,350.0,-2.0
AT,-1.5,VO,78.0,84.0,-7.142857142857142
AT,-1.0,AS,229.0,229.0,0.0
AT,-1.0,CEc,322.0,316.0,1.89873417721519
AT,-1.0,CEe,30.0,30.0,0.0
AT,-1.0,CL,256.0,252.0,1.5873015873015872
AT,-1.0,MCr,202.0,193.0,4.66321243523316
AT,-1.0,MCt,382.0,376.0,1.5957446808510638
AT,-1.0,MCu,415.0,426.0,-2.5821596244131455
AT,-1.0,MS,92.0,86.0,6.976744186046512
AT,-1.0,QLl,249.0,236.0,5.508474576271186
AT,-1.0,QLq,119.0,117.0,1.7094017094017095
AT,-1.0,SNs,0.0,0.0,0.0
AT,-1.0,KNa,499.0,517.0,-3.481624758220503
AT,-1.0,KNc,310.0,317.0,-2.2082018927444795
AT,-1.0,KNf,270.0,266.0,1.5037593984962405
AT,-1.0,KNn,257.0,274.0,-6.204379562043796
AT,-1.0,KNs,351.0,346.0,1.4450867052023122
AT,-1.0,AT,346.0,350.0,-1.1428571428571428
AT,-1.0,VO,90.0,84.0,7.142857142857142
AT,0.0,AS,229.0,229.0,0.0
AT,0.0,CEc,316.0,316.0,0.0
AT,0.0,CEe,30.0,30.0,0.0
AT,0.0,CL,252.0,252.0,0.0
AT,0.0,MCr,193.0,193.0,0.0
AT,0.0,MCt,376.0,376.0,0.0
AT,0.0,MCu,426.0,426.0,0.0
AT,0.0,MS,86.0,86.0,0.0
AT,0.0,QLl,236.0,236.0,0.0
AT,0.0,QLq,117.0,117.0,0.0
AT,0.0,SNs,0.0,0.0,0.0
AT,0.0,KNa,517.0,517.0,0.0
AT,0.0,KNc,317.0,317.0,0.0
AT,0.0,KNf,266.0,266.0,0.0
AT,0.0,KNn,274.0,274.0,0.0
AT,0.0,KNs,346.0,346.0,0.0
AT,0.0,AT,350.0,350.0,0.0
AT,0.0,VO,84.0,84.0,0.0
AT,0.5,AS,220.0,229.0,-3.9301310043668125
AT,0.5,CEc,318.0,316.0,0.6329113924050633
AT,0.5,CEe,27.0,30.0,-10.0
AT,0.5,CL,256.0,252.0,1.5873015873015872
AT,0.5,MCr,200.0,193.0,3.6269430051813467
AT,0.5,MCt,377.0,376.0,0.26595744680851063
AT,0.5,MCu,425.0,426.0,-0.2347417840375587
AT,0.5,MS,83.0,86.0,-3.488372093023256
AT,0.5,QLl,239.0,236.0,1.2711864406779663
AT,0.5,QLq,114.0,117.0,-2.564102564102564
AT,0.5,SNs,0.0,0.0,0.0
AT,0.5,KNa,515.0,517.0,-0.3868471953578337
AT,0.5,KNc,310.0,317.0,-2.2082018927444795
AT,0.5,KNf,263.0,266.0,-1.1278195488721803
AT,0.5,KNn,267.0,274.0,-2.5547445255474455
AT,0.5,KNs,342.0,346.0,-1.1560693641618496
AT,0.5,AT,352.0,350.0,0.5714285714285714
AT,0.5,VO,84.0,84.0,0.0
CEc,-3.0,AS,165.0,229.0,-27.947598253275107
CEc,-3.0,CEc,278.0,316.0,-12.025316455696203
CEc,-3.0,CEe,24.0,30.0,-20.0
CEc,-3.0,CL,212.0,252.0,-15.873015873015872
CEc,-3.0,MCr,171.0,193.0,-11.398963730569948
CEc,-3.0,MCt,310.0,376.0,-17.5531914893617
CEc,-3.0,MCu,348.0,426.0,-18.30985915492958
CEc,-3.0,MS,71.0,86.0,-17.441860465116278
CEc,-3.0,QLl,207.0,236.0,-12.288135593220339
CEc,-3.0,QLq,94.0,117.0,-19.65811965811966
CEc,-3.0,SNs,0.0,0.0,0.0
CEc,-3.0,KNa,397.0,517.0,-23.21083172147002
CEc,-3.0,KNc,282.0,317.0,-11.041009463722396
CEc,-3.0,KNf,220.0,266.0,-17.293233082706767
CEc,-3.0,KNn,189.0,274.0,-31.02189781021898
CEc,-3.0,KNs,306.0,346.0,-11.560693641618498
CEc,-3.0,AT,297.0,350.0,-15.142857142857144
